datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|Unnamed: 13
14|3.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
14|4.0|1||Urty syringe|anti-infantry 4+, extra attacks, precision|Melee|Melee|1|3|2|0|1|
15|1.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
15|2.0|1||Power klaw|sustained hits 1|Melee|Melee|4|3|9|-2|2|
15|3.0|1||Urty syringe|anti-infantry 4+, extra attacks, precision|Melee|Melee|1|3|2|0|1|
16|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
16|2.0|1||Kombi-weapon|anti-infantry 4+, devastating wounds, rapid fire 1|24|Ranged|1|5|4|0|1|
16|3.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
16|4.0|1||Shoota|rapid fire 1|18|Ranged|2|5|4|0|1|
16|5.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
16|6.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
16|7.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
16|8.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
16|9.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
17|1.0|1||Grot blasta|pistol|12|Ranged|1|4|3|0|1|
17|2.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
17|3.0|1||Close combat weapon||Melee|Melee|1|5|2|0|1|
17|4.0|1||Runtherd tools||Melee|Melee|3|3|5|0|1|
19|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
19|2.0|1||Burna|ignores cover, torrent|12|Ranged|D6||4|0|1|
19|3.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
19|4.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
19|5.0|1||Close combat weapon||Melee|Melee|3|3|4|0|1|
19|6.0|1||Cuttin flames||Melee|Melee|2|4|4|-2|1|
20|1.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
20|2.0|1||Rokkit pistol|pistol|12|Ranged|1|5|9|-2|3|
20|3.0|1||Choppa||Melee|Melee|4|3|5|-1|1|
20|4.0|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
20|5.0|1||Smash hammer|anti-monster 4+, anti-vehicle 4+|Melee|Melee|2|3|6|-2|3|
21|1.0|1||Kombi-weapon|anti-infantry 4+, devastating wounds, rapid fire 1|24|Ranged|1|5|4|0|1|
21|2.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
21|3.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
21|4.0|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
21|5.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
22|1.0|1||Kustom shoota|rapid fire 2|18|Ranged|4|5|4|0|1|
22|2.0|1||Waaagh! banner||Melee|Melee|3|3|8|-2|2|
23|1.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
23|2.0|1||Twin dakkagun|assault, rapid fire 2, twin-linked|18|Ranged|3|5|5|0|1|
23|3.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
23|4.0|1||Choppa||Melee|Melee|3|3|5|-1|1|
23|5.0|1||Close combat weapon||Melee|Melee|3|3|5|0|1|
23|6.0|1||Killsaw||Melee|Melee|2|4|12|-3|2|
23|7.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
23|8.0|1||Power stabba|lance|Melee|Melee|3|4|8|-1|2|
24|1.0|1||Kombi-weapon|anti-infantry 4+, devastating wounds, rapid fire 1|24|Ranged|1|5|4|0|1|
24|2.0|1||Kustom shoota|rapid fire 2|18|Ranged|4|5|4|0|1|
24|3.0|1||Killsaw||Melee|Melee|2|4|12|-3|2|
24|4.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
24|5.0|1||Twin killsaw|twin-linked|Melee|Melee|2|4|12|-3|2|
25|1.0|1||Burna|ignores cover, torrent|12|Ranged|D6||4|0|1|
25|2.0|1||Speshul Kommando shoota|rapid fire 2|18|Ranged|4|5|4|0|1|
25|3.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
25|4.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
25|5.0|1||Big choppa||Melee|Melee|4|3|7|-1|2|
25|6.0|1||Breacha ram||Melee|Melee|2|4|9|-2|2|
25|7.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
25|8.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
25|9.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
26|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
26|2.0|1||Spiked wheels||Melee|Melee|3|4|6|0|1|
26|3.0|1||Wreckin ball|extra attacks|Melee|Melee|1|4|10|0|D6|
27|1.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
27|2.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
27|3.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
28|1.0|1||Kopta rokkits|blast, twin-linked|24|Ranged|D3|5|9|-2|3|
28|2.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
28|3.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
28|4.0|1||Spinnin blades||Melee|Melee|6|3|5|0|1|
29|1.0|1||Twin supa-shoota|rapid fire 2, sustained hits 1, twin-linked|36|Ranged|4|5|6|-1|1|
29|2.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
30|1.0|1||Twin big shoota|rapid fire 2, twin-linked|36|Ranged|3|5|5|0|1|
30|2.0|1||Twin supa-shoota|rapid fire 2, sustained hits 1, twin-linked|36|Ranged|4|5|6|-1|1|
30|3.0|1||Skorcha missile rack|blast, ignores cover|36|Ranged|2D6|5|5|-1|1|
30|4.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
31|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
31|2.0|1||Twin supa-shoota|rapid fire 2, sustained hits 1, twin-linked|36|Ranged|4|5|6|-1|1|
31|3.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
32|1.0|1||Smasha gun|blast|48|Ranged|D3|4|9|-3|4|
32|2.0|1||Twin wazbom mega-kannon|blast, hazardous, twin-linked|36|Ranged|D3|4|12|-2|D6|
32|3.0|1||Twin supa-shoota|rapid fire 2, sustained hits 1, twin-linked|36|Ranged|4|4|6|-1|1|
32|4.0|1||Twin tellyport mega-blasta|blast, twin-linked|24|Ranged|3|5|9|-1|D6+1|
32|5.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
33|1.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
33|2.0|1||Twin dakkagun|assault, rapid fire 2, twin-linked|18|Ranged|3|5|5|0|1|
33|3.0|1||Big choppa||Melee|Melee|3|3|7|-1|2|
33|4.0|1||Choppa||Melee|Melee|3|3|4|-1|1|
33|5.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
33|6.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
34|1.0|1||Rack of rokkits|blast|24|Ranged|D3+1|5|9|-2|3|
34|2.0|1||Twin big shoota|rapid fire 2, twin-linked|36|Ranged|3|5|5|0|1|
34|3.0|1||Spiked wheel||Melee|Melee|2|4|6|0|1|
35|1.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
35|2.0|1||Spiked wheel||Melee|Melee|2|4|6|0|1|
36|1.0|1||Rack of rokkits|blast|24|Ranged|D3+1|5|9|-2|3|
36|2.0|1||Twin big shoota|rapid fire 2, twin-linked|36|Ranged|3|5|5|0|1|
36|3.0|1||Spiked wheels||Melee|Melee|3|4|6|0|1|
37|1.0|1||Kannon  frag|blast, heavy|36|Ranged|D6|6|5|0|1|
37|2.0|2||Kannon  shell|heavy|36|Ranged|1|6|9|-2|D6|
37|3.0|1||Lobba|blast, heavy, indirect fire|48|Ranged|D6|6|5|0|1|
37|4.0|1||Zzap gun|devastating wounds, heavy|36|Ranged|1|6|2D6|-3|3|
37|5.0|1||Close combat weapons||Melee|Melee|2|3|4|0|1|
38|1.0|1|1-2 |Bubblechukka  big bubble|bubblechukka, blast|48|Ranged|2D6|4|6|-1|1|
38|2.0|2|3-4 |Bubblechukka  wobbly bubble|bubblechukka, blast|48|Ranged|D6|4|9|-2|3|
38|3.0|3|5-6|Bubblechukka  dense bubble|bubblechukka, blast|48|Ranged|D3|4|12|-3|D6+3|
38|4.0|1||Kustom mega-kannon|BLAST, HAZARDOUS|36|Ranged|D6|4|12|-1|D6|
38|5.0|1||Smasha gun|BLAST|48|Ranged|D3+1|4|9|-3|3|
38|6.0|1||Traktor kannon|ANTI-FLY 2+, DEVASTATING WOUNDS|48|Ranged|1|4|10|-2|D6+1|
38|7.0|1||Grot crew||Melee|Melee|6|5|2|0|1|
39|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
39|2.0|1||Kannon  frag|blast|36|Ranged|D6+3|5|6|0|1|
39|3.0|2||Kannon  shell||36|Ranged|1|5|10|-2|D6|
39|4.0|1||Killkannon||24|Ranged|D6+1|5|9|-2|2|
39|5.0|1||Lobba|blast, indirect fire|48|Ranged|D6|5|5|0|1|
39|6.0|1||Zzap gun|anti-vehicle 4+|36|Ranged|1|5|D6+6|-3|5|
39|7.0|1||Deff rolla||Melee|Melee|6|3|9|-1|2|
39|8.0|1||Grabbin klaw|extra attacks|Melee|Melee|2|3|8|-2|2|
39|9.0|1||Tracks and wheels||Melee|Melee|6|4|8|0|1|
39|10.0|1||Wreckin ball|extra attacks|Melee|Melee|1|4|10|0|D6|
40|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
40|2.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
40|3.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
40|4.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
40|5.0|1||Dread klaw|dead choppy|Melee|Melee|4|3|12|-2|3|
40|6.0|1||Stompy feet||Melee|Melee|4|3|5|0|1|
41|1.0|1||Kan shoota|devastating wounds, rapid fire 2|36|Ranged|3|4|5|0|1|
41|2.0|1||Grotzooka|blast, ignores cover|18|Ranged|D3+3|4|6|-1|1|
41|3.0|1||Rokkit launcha|blast|24|Ranged|D3|4|9|-2|3|
41|4.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
41|5.0|1||Kan klaw||Melee|Melee|3|4|8|-2|3|
42|1.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
42|2.0|1||Kustom mega-zappa|blast, hazardous|36|Ranged|D6+3|5|10|-2|D6|
42|3.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
42|4.0|1||Twin big shoota|rapid fire 2, twin-linked|36|Ranged|3|5|5|0|1|
42|5.0|1||Klaw of Mork  strike||Melee|Melee|4|3|18|-3|6|
42|6.0|2||Klaw of Mork  sweep||Melee|Melee|12|3|8|-1|2|
43|1.0|1||Deffstorm mega-shoota|rapid fire 10|36|Ranged|20|5|6|-1|1|
43|2.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
43|3.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
43|4.0|1||Twin big shoota|rapid fire 2, twin-linked|36|Ranged|3|5|5|0|1|
43|5.0|1||Klaw of Gork  strike||Melee|Melee|5|3|18|-3|6|
43|6.0|2||Klaw of Gork  sweep||Melee|Melee|15|3|8|-1|2|
44|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
44|2.0|1||Deffgun|heavy, rapid fire 1|48|Ranged|2|6|8|-1|2|
44|3.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
44|4.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
44|5.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
45|1.0|1||Snazzgun|heavy, sustained hits 1|24|Ranged|3|5|6|-1|2|
45|2.0|1||Choppa||Melee|Melee|4|3|5|-1|1|
46|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
46|2.0|1||Deffkannon|blast|72|Ranged|3D6|5|14|-3|D6|
46|3.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
46|4.0|1||Supa-gatler|sustained hits 1|24|Ranged|20|5|7|-1|2|
46|5.0|1||Supa-rokkits|blast|100|Ranged|D6|5|12|-3|D6+2|
46|6.0|1||Twin big shoota|rapid fire 2, twin-linked|36|Ranged|3|5|5|0|1|
46|7.0|1||Mega-choppa  strike||Melee|Melee|6|3|24|-5|10|
46|8.0|2||Mega-choppa  sweep||Melee|Melee|18|3|10|-2|3|
49|1.0|1||Grot tank shoota|devastating wounds, rapid fire 2|36|Ranged|3|4|5|0|1|
49|2.0|1||Grotzooka|blast, ignores cover|18|Ranged|D3+3|4|6|-1|1|
49|3.0|1||Kustom mega-blasta|hazardous|24|Ranged|2|4|9|-2|D6|
49|4.0|1||Rokkit launcha|blast|24|Ranged|D3|4|9|-2|3|
49|5.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
49|6.0|1||Ramshackle hull||Melee|Melee|3|5|6|0|1|
50|1.0|1||Mega-tank weapons|rapid fire 10|18|Ranged|10|4|5|0|1|
50|2.0|1||Twin big shoota|rapid fire 2, twin-linked|18|Ranged|3|4|5|0|1|
50|3.0|1||Twin grotzooka|blast, twin-linked|18|Ranged|D3+3|4|6|0|1|
50|4.0|1||Twin kustom mega-blasta|hazardous, twin-linked|24|Ranged|2|4|9|-2|D6|
50|5.0|1||Twin rokkit launcha|blast, twin-linked|24|Ranged|D3|4|9|-2|3|
50|6.0|1||Twin skorcha|ignores cover, torrent, twin-linked|12|Ranged|D6||5|-1|1|
50|7.0|1||Armoured hull||Melee|Melee|6|4|4|0|1|
51|1.0|1||Kannon  frag|blast|36|Ranged|D6|5|5|0|1|
51|2.0|2||Kannon  shell||36|Ranged|1|5|9|-2|D6|
51|3.0|1||Gorin horns  strike||Melee|Melee|4|3|12|-2|D6|
51|4.0|2||Gorin horns  sweep||Melee|Melee|8|3|9|-1|2|
52|1.0|1||Killkannon||24|Ranged|D6+3|5|9|-2|2|
52|2.0|1||Dread killsaw||Melee|Melee|4|3|14|-3|4|
52|3.0|1||Dread rippa klaw||Melee|Melee|6|3|12|-2|3|
52|4.0|1||Stompy feet||Melee|Melee|4|3|7|0|1|
53|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
53|2.0|1||Lifta-droppa|anti-vehicle 3+|36|Ranged|4|5|6|-3|D6+1|
53|3.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
53|4.0|1||Deff rolla||Melee|Melee|6|3|9|-1|2|
53|5.0|1||Grabbin klaw|extra attacks|Melee|Melee|2|3|8|-2|2|
53|6.0|1||Tracks and wheels||Melee|Melee|6|4|8|0|1|
53|7.0|1||Wreckin ball|extra attacks|Melee|Melee|1|4|10|0|D6|
54|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
54|2.0|1||Kannon  frag|blast|36|Ranged|D6|5|5|0|1|
54|3.0|2||Kannon  shell||36|Ranged|1|5|9|-2|D6|
54|4.0|1||Supa-kannon  frag|blast|36|Ranged|D6+3|5|5|0|1|
54|5.0|2||Supa-kannon  shell||36|Ranged|1|5|9|-2|D3+3|
54|6.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
55|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
55|2.0|1||Supa-kannon  frag|blast|36|Ranged|D6+3|5|5|0|1|
55|3.0|2||Supa-kannon  shell||36|Ranged|1|5|9|-2|D3+3|
55|4.0|1||Spiked ram||Melee|Melee|3|4|8|0|1|
56|1.0|1||Bursta kannon|blast|36|Ranged|3D6|5|14|-2|3|
56|2.0|1||Giga shoota|sustained hits 1|48|Ranged|30|5|6|-1|1|
56|3.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
56|4.0|1||Twin big shoota|rapid fire 2, twin-linked|18|Ranged|3|5|5|0|1|
56|5.0|1||Reinforced ram||Melee|Melee|8|4|9|-1|2|
57|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|5|5|0|1|
57|2.0|1||Deffgun|rapid fire 1|48|Ranged|2|5|8|-1|2|
57|3.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
57|4.0|1||Rattler kannon||24|Ranged|6|5|6|-1|1|
57|5.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
57|6.0|1||Skorcha|ignores cover, torrent|12|Ranged|D6||5|-1|1|
57|7.0|1||Armoured hull||Melee|Melee|3|4|6|0|1|
59|1.0|1||Kannon  frag|blast|36|Ranged|D6|5|5|0|1|
59|2.0|2||Kannon  shell||36|Ranged|1|5|9|-2|D6|
59|3.0|1||Supa-kannon|blast|60|Ranged|2D6|5|12|-2|3|
59|4.0|1||Huge tusks  strike|lance|Melee|Melee|6|3|14|-3|12|
59|5.0|2||Huge tusks  sweep||Melee|Melee|18|3|9|-2|3|
60|1.0|1||Absolvor bolt pistol|pistol|18|Ranged|1|3|5|-1|2|
60|2.0|1||Close combat weapon||Melee|Melee|4|3|4|0|1|
61|1.0|1||Bolt pistol|pistol|12|Ranged|1|3|4|0|1|
61|2.0|1||Flamer|ignores cover, torrent|12|Ranged|D6||4|0|1|
61|3.0|1||Grav-pistol|ANTI-VEHICLE 2+, PISTOL|12|Ranged|1|3+|4|-1|2|
61|4.0|1||Hand flamer|IGNORES COVER, PISTOL, TORRENT|12|Ranged|D6 ||3|0|1|
61|5.0|1||Inferno pistol|MELTA 2, PISTOL|6|Ranged|1|3+|8|-4|D3|
61|6.0|1||Meltagun|melta 2|12|Ranged|1|3|9|-4|D6|
61|7.0|1||Plasma gun  standard|rapid fire 1|24|Ranged|1|3|7|-2|1|
61|8.0|2||Plasma gun  supercharge|hazardous, rapid fire 1|24|Ranged|1|3|8|-3|2|
61|9.0|1||Plasma pistol  standard|pistol|12|Ranged|1|3|7|-2|1|
61|10.0|2||Plasma pistol  supercharge|hazardous, pistol|12|Ranged|1|3|8|-3|2|
61|11.0|1||Astartes chainsword||Melee|Melee|4|3|4|-1|1|
61|12.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
61|13.0|1||Eviscerator|sustained hits 1|Melee|Melee|3|4|7|-2|2|
61|14.0|1||Power fist||Melee|Melee|3|3|8|-2|2|
61|15.0|1||Power weapon||Melee|Melee|4|3|5|-2|1|
61|16.0|1||Thunder hammer|devastating wounds|Melee|Melee|3|4|8|-2|2|
61|17.0|1||Twin lightning claws|twin-linked|Melee|Melee|5|3|4|-2|1|
63|1.0|1||Bolt pistol|pistol|12|Ranged|1|3|4|0|1|
63|2.0|1||Twin boltgun|twin-linked|24|Ranged|2|3|4|0|1|
63|3.0|1||Astartes chainsword||Melee|Melee|5|3|4|-1|1|
64|1.0|1||Bolt pistol|pistol|12|Ranged|1|3|4|0|1|
64|2.0|1||Flamer|ignores cover, torrent|12|Ranged|D6||4|0|1|
64|3.0|1||Grav-pistol|ANTI-VEHICLE 2+, PISTOL|12|Ranged|1|3|4|-1|2|
64|4.0|1||Hand flamer|IGNORES COVER, PISTOL, TORRENT|12|Ranged|D6||3|0|1|
64|5.0|1||Inferno pistol|MELTA 2, PISTOL|6|Ranged|1|3|8|-4|D3|
64|6.0|1||Meltagun|melta 2|12|Ranged|1|3|9|-4|D6|
64|7.0|1||Plasma gun  standard|rapid fire 1|24|Ranged|1|3|7|-2|1|
64|8.0|2||Plasma gun  supercharge|hazardous, rapid fire 1|24|Ranged|1|3|8|-3|2|
64|9.0|1||Plasma pistol  standard|pistol|12|Ranged|1|3|7|-2|1|
64|10.0|2||Plasma pistol  supercharge|hazardous, pistol|12|Ranged|1|3|8|-3|2|
64|11.0|1||Astartes chainsword||Melee|Melee|4|3|4|-1|1|
64|12.0|1||Close combat weapon||Melee|Melee|2|3|4|0|1|
64|13.0|1||Eviscerator|sustained hits 1|Melee|Melee|3|4|7|-2|2|
64|14.0|1||Power fist||Melee|Melee|3|3|8|-2|2|
64|15.0|1||Power weapon||Melee|Melee|4|3|5|-2|1|
64|16.0|1||Thunder hammer|devastating wounds|Melee|Melee|3|4|8|-2|2|
64|17.0|1||Twin lightning claws|twin-linked|Melee|Melee|5|3|4|-2|1|
65|1.0|1||Godhammer lascannon||48|Ranged|2|3|12|-3|D6+1|
65|2.0|1||Hunter-killer missile|one shot|48|Ranged|1|2|14|-3|D6|
65|3.0|1||Multi-melta|melta 2|18|Ranged|2|3|9|-4|D6|
65|4.0|1||Storm bolter|rapid fire 2|24|Ranged|2|3|4|0|1|
65|5.0|1||Twin heavy bolter|sustained hits 1, twin-linked|36|Ranged|3|3|5|-1|2|
65|6.0|1||Armoured tracks||Melee|Melee|6|4|8|0|1|
66|1.0|1||Hunter-killer missile|one shot|48|Ranged|1|2|14|-3|D6|
66|2.0|1||Hurricane bolter|rapid fire 6, twin-linked|24|Ranged|6|3|4|0|1|
66|3.0|1||Multi-melta|melta 2|18|Ranged|2|3|9|-4|D6|
66|4.0|1||Storm bolter|rapid fire 2|24|Ranged|2|3|4|0|1|
66|5.0|1||Twin assault cannon|devastating wounds, twin-linked|24|Ranged|6|3|6|0|1|
66|6.0|1||Armoured tracks||Melee|Melee|6|4|8|0|1|
67|1.0|1||Combi-weapon|anti-infantry 4+, devastating wounds, rapid fire 1|24|Ranged|1|4|4|0|1|
67|2.0|1||Godhammer lascannons||48|Ranged|2|3|12|-3|D6+1|
67|3.0|1||Grav-cannon|anti-vehicle 2+|24|Ranged|3|3|6|-1|3|
67|4.0|1||Hunter-killer missile|one shot|48|Ranged|1|2|14|-3|D6|
67|5.0|1||Multi-melta|melta 2|18|Ranged|2|3|9|-4|D6|
67|6.0|1||Storm bolter|rapid fire 2|24|Ranged|2|3|4|0|1|
67|7.0|1||Armoured tracks||Melee|Melee|6|4|8|0|1|
68|1.0|1||Accelerator autocannon|heavy|48|Ranged|3|4|8|-1|2|
68|2.0|1||Bolt pistol|pistol|12|Ranged|1|3|4|0|1|
68|3.0|1||Close combat weapon||Melee|Melee|3|3|4|0|1|
70|1.0|1||Bolt pistol|pistol|12|Ranged|1|3|4|0|1|
70|2.0|1||Boltgun||24|Ranged|2|3|4|0|1|
70|3.0|1||Combi-weapon|ANTI-INFANTRY 4+, DEVASTATING WOUNDS, RAPID FIRE 1|24|Ranged|1|4|4|0|1|
70|4.0|1||Flamer|ignores cover, torrent|12|Ranged|D6||4|0|1|
70|5.0|1||Grav-cannon|ANTI-VEHICLE 2+, HEAVY|24|Ranged|3|4|6|-1|3|
70|6.0|1||Grav-gun|anti-vehicle 2+|18|Ranged|2|3|5|-1|2|
70|7.0|1||Grav-pistol|ANTI-VEHICLE 2+, PISTOL|12|Ranged|1|3|4|-1|2|
70|8.0|1||Heavy bolter|HEAVY, SUSTAINED HITS 1|36|Ranged|3|4|5|-1|2|
70|9.0|1||Lascannon|HEAVY|48|Ranged|1|4|12|-3|D6+1|
70|10.0|1||Meltagun|melta 2|12|Ranged|1|3|9|-4|D6|
70|11.0|1||Missile launcher  frag|BLAST, HEAVY|48|Ranged|D6|4|4|0|1|
70|12.0|2||Missile launcher  krak|HEAVY|48|Ranged|1|4|9|-2|D6|
70|13.0|1||Multi-melta|HEAVY, MELTA 2|18|Ranged|2|4|9|-4|D6|
