datasheet_id|line|button|description|Unnamed: 4
111|1||This models 2 twin heavy bolters can be replaced with one of the following:2 assault cannons2 Dreadnought inferno cannons2 heavy plasma cannons2 missile launchers2 multi-meltas2 twin autocannons2 twin lascannons|
112|1||This models bolt pistol can be replaced with one of the following:1 boltgun1 combi-weapon1 grav-pistol1 hand flamer1 inferno pistol1 plasma pistol1 storm bolter1 power fist|
113|1||This models twin heavy bolter can be replaced with one of the following:1 twin multi-melta1 typhoon missile launcher|
113|2||This models 2 twin hellstrike missile launchers can be replaced with 2 twin lascannons|
115|1||This models storm bolter can be replaced with 1 relic shield.|
116|1||The Biker Sergeants bolt pistol can be replaced with one of the following:1 Astartes chainsword1 boltgun1 combi-weapon1 hand flamer1 grav-pistol1 inferno pistol1 plasma pistol1 storm bolter1 power fist1 power weapon1 thunder hammer|
116|2||Any number of Space Marine Bikers can each have their bolt pistol replaced with 1 Astartes chainsword.|
116|3||Up to 2 Space Marine Bikers can each have their bolt pistol replaced with one of the following:1 flamer1 grav-gun1 meltagun1 plasma gun1 plasma pistol|
116|4||An Attack Bikes heavy bolter can be replaced with 1 multi-melta.  |
117|1||This models assault cannon can be replaced with one of the following:1 heavy plasma cannon1 multi-melta1 twin lascannon|
117|2||This models Dreadnought combat weapon and storm bolter can be replaced with one of the following:1 missile launcher and 1 close combat weapon1 heavy flamer and 1 Dreadnought combat weapon|
118|1||Any number of models can each have their thunder hammer and storm shield replaced with 1 twin lightning claws.|
120|1||This models assault cannon can be replaced with one of the following:1 heavy plasma cannon1 multi-melta1 twin autocannon1 twin heavy bolter1 twin heavy flamer1 twin lascannon1 Dreadnought inferno cannon|
120|2||This models storm bolter and Dreadnought combat weapon can be replaced with one of the following:1 heavy flamer and 1 Dreadnought combat weapon1 missile launcher1 twin autocannon |
122|1|||
123|1||This model can be equipped with one of the following:2 heavy bolters2 lascannons|
123|2||This model can be equipped with 1 hunter-killer missile.|
123|3||This model can be equipped with 1 storm bolter.|
125|1||All models in this unit can each have their assault bolters replaced with 1 plasma exterminators.|
128|1||1 Infiltrator can be equipped with 1 helix gauntlet.*|
128|2||1 Infiltrator can be equipped with 1 Infiltrator comms array.*|
128|3|*|* These options cannot be taken on the same model.|
129|1||This models twin heavy bolter can be replaced with 1 twin lascannon.|
129|2||This model can be equipped with 1 hunter-killer missile.|
129|3||This model can be equipped with 1 storm bolter.|
131|1||Each of this models grav-flux bombards can be replaced with one of the following1 cyclonic melta lance1 storm cannon1 meltagun and 1 Leviathan siege claw1 meltagun and 1 Leviathan siege drill|
131|2||This models 2 heavy flamers can be replaced with 2 twin volkite calivers.|
131|3||This model can be equipped with 3 hunter-killer missiles.|
132|1|||
134|1||Up to 2 models can each have their Servitor servo-arm replaced with one of the following:1 heavy bolter and 1 close combat weapon1 multi-melta and 1 close combat weapon1 plasma cannon and 1 close combat weapon|
135|1||This models storm bolter can be replaced with 1 combi-weapon|
135|2||This models relic weapon can be replaced with 1 relic fist|
136|1||This models twin heavy bolter can be replaced with 1 twin multi-melta.|
136|2||This models Brutalis fists and Brutalis bolt rifles can be replaced with 1 Brutalis talons.|
137|1||The Scout Biker Sergeants bolt pistol can be replaced with one of the following:1 Astartes chainsword1 boltgun1 combi-weapon1 hand flamer1 grav-pistol1 inferno pistol1 plasma pistol1 storm bolter1 power fist1 power weapon1 thunder hammer|
137|2||Any number of models can each have their twin boltgun replaced with 1 Astartes grenade launcher.|
139|1||This models Thunderhawk heavy cannon can be replaced with 1 turbo-laser destructor.|
139|2||This models Thunderhawk cluster bombs can be replaced with 1 hellstrike missile battery.|
146|1||This model can be equipped with 1 hunter-killer missile.|
146|2||This model can be equipped with 1 storm bolter.|
147|1||Any number of models can each have their bolt pistol replaced one of the following:1 storm shield1 grav-pistol1 hand flamer1 inferno pistol1 plasma pistol|
148|1|||
152|1|||
153|1|||
154|1||This models storm bolter can be replaced with one of the following:1 heavy flamer1 meltagun|
159|1||This models bolt pistol can be replaced with one of the following:1 boltgun1 combi-weapon1 grav-pistol1 hand flamer1 inferno pistol1 plasma pistol1 storm bolter|
159|2||This models Astartes chainsword can be replaced with one of the following:1 power fist1 power weapon1 thunder hammer|
160|1|||
165|1||Any number of models can each have their encarmine blade replaced with 1 encarmine spear.|
165|2||For every 3 models in this unit, 1 models Angelus boltgun can be replaced with 1 inferno pistol.|
165|3||One model can be equipped with 1 Sanguinary banner.|
166|1||This models twin heavy bolter can be replaced with 1 twin multi-melta.|
166|2||This model's blood fists and blood fist bolt rifles can be replaced with 1 blood talons.|
167|1||This models heavy frag cannon and Furioso fist can be replaced with one of the following:1 Blood Talons and 1 meltagun1 twin Furioso fist and 1 meltagun|
167|2||This models storm bolter can be replaced with 1 heavy flamer.|
167|3||This models meltagun can be replaced with 1 heavy flamer.|
167|4||This model can be equipped with 1 magna-grapple.|
168|1||This model's twin assault cannon can be replaced with 1 Baal flamestorm cannon.|
168|2||This model can be equipped with 1 hunter-killer missile.|
168|3||This model can be equipped with 1 storm bolter.|
168|4||This model can be equipped with one of the following2 heavy bolters2 heavy flamers|
169|1|||
230|1||Any number of Deathwing Terminators can each have their power fist replaced with 1 chainfist.|
230|2||For every 5 models in this unit, 1 Deathwing Terminator can replace its storm bolter with one of the following:1 assault cannon1 heavy flamer1 plasma cannon1 storm bolter and 1 cyclone missile launcher (this models storm bolter cannot be replaced)|
230|3||This unit can be equipped with 1 Watcher in the Dark.|
231|1||The Knight Masters great weapon of the Unforgiven can be replaced with 1 relic weapon.|
231|2||All Deathwing Knights in this unit can each have their mace of absolution replaced with 1 power weapon. |
231|3||This unit can be equipped with 1 Watcher in the Dark.|
238|1||This models heavy bolter can be replaced with 1 assault cannon.|
239|1||This models avenger mega bolter can be replaced with 1 Nephilim lascannons.|
241|1||For every 3 models in this unit, 1 model can replace its plasma talon with 1 Astartes grenade launcher.|
242|1||This models heavy bolter can be replaced with 1 assault cannon.|
243|1||This model can be equipped with up to 4 heavy bolters.|
283|1|||
284|1||This models bolt pistol can be replaced with one of the following:1 combi-weapon1 master-crafted boltgun1 plasma pistol1 storm bolter1 power fist1 relic weapon1 thunder hammer|
284|2||This models relic weapon can be replaced with one of the following:1 plasma pistol1 power fist1 thunder hammer1 relic shield and 1 close combat weapon|
284|3||This models bolt pistol and relic weapon can be replaced with 1 twin lightning claws.|
286|1|||
287|1|||
288|1|||
300|1||This models power weapon can be replaced with one of the following:1 chainfist1 power fist1 relic shield and 1 close combat weapon1 thunder hammer|
300|2||This models storm bolter and power weapon can be replaced with 1 twin lightning claws.|
300|3||This models storm bolter can be replaced with one of the following:1 chainfist1 power fist1 power weapon1 thunder hammer1 combi-weapon|
301|1||This models bolt pistol and relic weapon can be replaced with 1 twin lightning claws.|
301|2||This models bolt pistol can be replaced with one of the following:1 combi-weapon1 master-crafted boltgun1 plasma pistol1 storm bolter1 power fist1 relic weapon1 thunder hammer|
301|3||This models relic weapon can be replaced with one of the following:1 plasma pistol1 power fist1 thunder hammer1 storm shield and 1 close combat weapon|
302|1||This models assault cannon can be replaced with one of the following:Helfrost cannonMulti-melta|
303|1||The Blood Claw Pack Leaders bolt pistol can be replaced with 1 plasma pistol.|
303|2||The Blood Claw Pack Leaders Astartes chainsword can be replaced with 1 power weapon.|
304|1|||
305|1||The Grey Hunter Pack Leaders bolt carbine can be replaced with 1 plasma pistol.|
305|2||The Grey Hunter Pack Leaders Astartes chainsword can be replaced with one of the following1 power fist1 power weapon|
308|1||This models boltgun can be replaced with one of the following:1 bolt pistol1 helfrost pistol|
310|1||1 Wolf Scouts boltgun and bolt pistol can be  replaced with one of the following:1 bolt pistol and 1 power weapon1 plasma pistol and 1 boltgun|
310|2||1 Wolf Scouts boltgun can be replaced with one of the following:1 flamer1 grav-gun1 heavy bolter1 meltagun1 missile launcher1 plasma gun|
310|3||Any number of models can each have their boltgun replaced with one of the following:1 Astartes shotgun1 combat knife|
310|4||The Wolf Scout Pack Leaders bolt pistol and boltgun can be replaced with with 1 twin lightning claws, or two different weapons from the following list:*1 bolt pistol1 boltgun1 combi-weapon1 grav-pistol1 hand flamer1 inferno pistol1 plasma pistol1 storm bolter1 Astartes chainsword1 power fist1 power weapon1 thunder hammer.|
310|5|*|* This model can only be equipped with two ranged weapons if one of them is a Pistol (and it can only have one Pistol)|
311|1||Any number of models can each have their death totem replaced with 1 stormfrag auto-launcher.|
315|1||Any number of models can have their bolt pistol replaced with one of the following:1 boltgun1 combi-weapon1 plasma pistol1 storm bolter1 storm shield|
318|1||Any number of models can each have their storm bolter replaced with 1 storm shield.|
318|2||For every 5 models in this unit, 1 Wolf Guard Terminator can replace its storm bolter and master-crafted power weapon with 1 assault cannon and 1 powerfist.|
318|3||The Wolf Guard Terminator Pack Leaders storm bolter and master-crafted power weapon can be replaced with 1 of the following:1 relic greataxe1 twin lightning claws|
321|1||This models 2 skyhammer missile launchers can replaced with one of the following:2 twin heavy bolters2 twin multi-meltas|
322|1||Any number of models can each have their bolt pistol replaced with one of the following:1 boltgun1 storm shield|
322|2||For every 3 models in this unit, one models bolt pistol can be replaced with 1 plasma pistol.|
324|1||The Skyclaw Pack Leaders Astartes chainsword can be replaced with one of the following:1 power fist1 power weapon|
324|2||The Skyclaw Pack Leaders bolt pistol can be replaced with 1 plasma pistol.|
324|3||Up to 2 Skyclaws can each have their bolt pistol and Astartes chainsword replaced with one of the following:1 plasma pistol and 1 Astartes chainsword1 flamer and 1 close combat weapon1 grav-gun and 1 close combat weapon1 meltagun and 1 close combat weapon1 plasma gun and 1 close combat weapon|
325|1||This models 2 skyhammer missile launchers can be replaced with one of the following:2 twin multi-meltas2 twin heavy bolters|
325|2||This models twin stormstrike missile launcher can be replaced with 1 twin lascannon.|
326|1||Any number of Long Fangs can each have their boltgun replaced with one of the following:1 grav-cannon1 heavy bolter1 heavy flamer1 lascannon1 missile launcher1 multi-melta1 plasma cannon|
326|2||The Long Fang Pack Leaders boltgun can be replace with one of the following1 flamer1 grav-gun1 meltagun1 plasma gun1 plasma pistol|
326|3||The Long Fang Pack Leaders close combat weapon can be replaced with one of the following:1 Astartes chainsword1 power fist1 power weapon|
358|1||This models twin assault cannon can be replaced with 1 twin lascannon.|
358|2||This models 2 Blackstar rocket launchers can be replaced with 2 stormstrike missile launchers.|
358|3||This model can be equipped with 1 hurricane bolter.|
358|4||This model can be equipped with one of the following:1 auspex array1 infernum halo-launcher|
373|1|||
375|1||This models storm bolter can be replaced with one of the following:1 incinerator1 psilencer1 psycannon|
376|1||This models storm bolter can be replaced with one of the following:1 incinerator1 psilencer1 psycannon|
377|1|||
381|1||For every 5 models in this unit, 1 Grey Knights storm bolter and Nemesis force weapon can be replaced with one of the following:1 incinerator and 1 close combat weapon1 psilencer and 1 close combat weapon1 psycannon and 1 close combat weapon|
382|1||For every 5 models in this unit, 1 Terminators storm bolter can be replaced with one of the following:1 incinerator1 psilencer1 psycannon|
382|2||1 Terminator can have its storm bolter replaced with 1 Apothecarys narthecium.|
382|3||1 Terminators storm bolter can be replaced with one of the following:1 incinerator and 1 Ancients banner1 psilencer and 1 Ancients banner1 psycannon and 1 Ancients banner1 storm bolter and 1 Ancients banner*|
382|4|*|* That models storm bolter cannot be replaced.|
383|1||For every 5 models in this unit, up to 2 Purifiers can each have their storm bolter and Nemesis force weapon replaced with one of the following:1 incinerator and 1 close combat weapon1 psilencer and 1 close combat weapon1 psycannon and 1 close combat weapon|
384|1||For every 5 models in this unit, up to 2 Paladins can each have their storm bolter replaced with one of the following:1 incinerator1 psilencer1 psycannon|
384|2||1 Paladin can have its storm bolter replaced with 1 Apothecarys narthecium.|
384|3||1 Paladins storm bolter can be replaced with one of the following:1 incinerator and 1 Ancients banner1 psilencer and 1 Ancients banner1 psycannon and 1 Ancients banner1 storm bolter and 1 Ancients banner*|
384|4|*|* That models storm bolter cannot be replaced.|
387|1||For every 5 models in this unit, 1 Interceptors storm bolter and Nemesis force weapon can be replaced with one of the following:1 incinerator and 1 close combat weapon1 psilencer and 1 close combat weapon1 psycannon and 1 close combat weapon|
388|1||Up to 4 Purgators can each have their storm bolter and Nemesis force weapon replaced with one of the following:1 incinerator and 1 close combat weapon1 psilencer and 1 close combat weapon1 psycannon and 1 close combat weapon|
389|1||This models dreadfists can be replaced with one of the following:1 Nemesis daemon greathammer1 Nemesis greatsword|
389|2||This model can be equipped with up to two of the following, but cannot take duplicates:1 gatling psilencer1 heavy incinerator1 heavy psycannon|
390|1||This models assault cannon can be replaced with one of the following:1 heavy plasma cannon1 multi-melta1 twin lascannon|
390|2||This models assault cannon, storm bolter and Dreadnought combat weapon can be replaced with one of the following:1 heavy psycannon, 1 storm bolter and 1 Nemesis doomglaive1 heavy psycannon, 1 incinerator and 1 Nemesis doomglaive|
390|3||This models storm bolter and Dreadnought combat weapon can be replaced with one of the following:1 missile launcher and 1 armoured feet1 heavy flamer and 1 Dreadnought combat weapon|
391|1||This model can be equipped with 1 hunter-killer missile.|
391|2||This model can be equipped with 1 multi-melta.|
391|3||This model can be equipped with 1 storm bolter.|
392|1||This model can be equipped with 1 hunter-killer missile.|
392|2||This model can be equipped with 1 multi-melta.|
392|3||This model can be equipped with 1 storm bolter.|
393|1||This model can be equipped with 1 hunter-killer missile.|
393|2||This model can be equipped with 1 multi-melta.|
393|3||This model can be equipped with 1 storm bolter.|
395|1||This model can be equipped with 1 hunter-killer missile.|
395|2||This model can be equipped with 1 storm bolter.|
395|3||This models twin heavy bolter can be replaced with 1 twin lascannon.|
396|1||This model can be equipped with 1 hunter-killer missile.|
396|2||This model can be equipped with 1 additional storm bolter.|
397|1||Up to 2 models can each have their Servitors servo-arm replaced with one of the following:1 heavy bolter and 1 Servitors tools1 multi-melta and 1 Servitors tools1 plasma cannon and 1 Servitors tools|
398|1||This model can be equipped with 2 hurricane bolters.|
398|2||This models twin assault cannon can be replaced with one of the following:1 twin heavy plasma cannon1 twin lascannon|
398|3||This models typhoon missile launcher can be replaced with one of the following:1 twin heavy bolter1 twin multi-melta|
400|1||This models assault cannon can be replaced with one of the following:1 heavy plasma cannon1 twin lascannon|
400|2||This models storm bolter can be replaced with 1 heavy flamer.|
402|1||This models high-output burst cannon can be replaced with one of the following:1 airbursting fragmentation projector*1 battlesuit support system*1 burst cannon1 cyclic ion blaster*1 fusion blaster1 missile pod1 plasma rifle1 shield generator*1 Tau flamer1 weapon support system*|
402|2||This model can be equipped with up to two of the following, and can take duplicates:1 gun drone1 marker drone1 shield drone|
402|3||This model can be equipped with up to three of the following, and can take duplicates:1 airbursting fragmentation projector*1 battlesuit support system*1 burst cannon1 cyclic ion blaster*1 fusion blaster1 missile pod1 plasma rifle1 shield generator*1 Tau flamer1 weapon support system* |
402|4|*|* This model cannot have duplicates of these pieces of wargear.|
403|1|||
404|1||This model can be equipped with 1 hover drone.|
404|2||This model can be equipped with up to two of the following, and can take duplicates:1 gun drone1 marker drone1 shield drone|
405|1||This model can be equipped with up to two of the following, and can take duplicates:1 gun drone1 marker drone1 shield drone|
408|1|||
409|1|||
411|1||The Fire Warrior Shasui can be equipped with up to two of the following, and can take duplicates:1 guardian drone (it cannot take duplicates of this piece of wargear)1 gun drone1 marker drone1 shield drone|
411|2||Any number of Fire Warrior models can each have their pulse rifle replaced with 1 pulse carbine.|
412|1||The Breacher Fire Warrior Shasui can be equipped with up to two of the following, and can take duplicates:1 guardian drone (it cannot take duplicates of this piece of wargear)1 gun drone1 marker drone1 shield drone|
413|1||The Long-quills Kroot rifle can be replaced with 1 Kroot carbine.|
413|2||For every 10 models in this unit, one Kroot Carnivores Kroot rifle can be replaced with 1 Tanglebomb launcher.|
414|1||Any number of models can each have their repeater cannon replaced with 1 tanglecannon.|
417|1||The Stealth Shasvre can be equipped with 1 gun drone.|
417|2||The Stealth Shasvre can be equipped with 1 marker drone.|
417|3||The Stealth Shasvre can be equipped with 1 pulse pistol.|
417|4|| 1 Stealth Shasui can be equipped with 1 homing beacon.|
417|5||2 models can each have their burst cannon replaced with 1 fusion blaster.|
418|1||Any number of models can each have their burst cannon replaced with one of the following:1 airbursting fragmentation projector*1 battlesuit support system*1 cyclic ion blaster1 fusion blaster1 missile pod1 plasma rifle1 shield generator*1 Tau flamer1 weapon support system*|
418|2||Any number of models can be equipped with up to two of the following, and can take duplicate1 gun drone1 marker drone1 shield drone|
