datasheet_id|line|ability_id|model|name|description|type|parameter|Unnamed: 8
16|3|||BODYGUARD|If this unit has a Starting Strength of 20, you can attach up to two Leader units to it instead of one (but only if one of those is a Warboss unit). If you do, and this unit is destroyed, the Leader units attached to it become separate units with their original Starting Strengths.|Special ( )||
17|1|3676.0||||Faction||
17|2|||Runtherd|While this unit contains one or more Gretchin models, each time an attack targets this unit, Runtherd models in this unit have a Toughness characteristic of 2.|Datasheet||
17|3|||Thievin Scavengers|At the start of your Movement phase, roll one D6 for each objective marker you control that has one or more units from your army with this ability within range of it (excluding Battle-shocked units). If one or more of those rolls is a 4+, you gain 1CP.|Datasheet||
19|1|3676.0||||Faction||
19|2|||Pyromaniaks|"Each time a model in this unit makes a ranged attack with a burna that targets an enemy unit within 6"", re-roll a Wound roll of 1. If the target of that attack is also within range of an objective marker, you can re-roll the Wound roll instead."|Datasheet||
20|1|3676.0||||Faction||
20|2|||Tank Hunters|Each time a model in this unit makes a ranged attack that targets a MONSTER or VEHICLE unit, add 1 to the Hit roll and add 1 to the Wound roll.|Datasheet||
20|3|||Bomb Squigs|"Once per battle, for each bomb squig this unit has, after this unit ends a Normal move, you can use one Bomb Squig. If you do, select one enemy unit within 12"" and visible to this unit and roll one D6: on a 3+, that enemy unit suffers D3 mortal wounds.Designers Note: Place two Bomb Squig tokens next to the unit, removing one each time this unit uses this ability."|Datasheet||
20|4|||Pulsa Rokkit|Once per battle, when the bearers unit is selected to shoot in your Shooting phase, the bearer can use its pulsa rokkit. If it does, until the end of the phase, improve the Strength and Armour Penetration characteristics of ranged weapons equipped by models in the bearers unit by 1.|Wargear||
20|5|||ATTACHED UNIT|If a Character unit from your army with the Leader ability can be attached to a Lootas unit, it can be attached to this unit instead.|Fortification ( )||
21|1|3676.0||||Faction||
21|2|||Da Boss Ladz|While a Warboss model is leading this unit, each time an attack targets this unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of this unit, subtract 1 from the Wound roll.|Datasheet||
21|3|||Ammo Runt|Once per battle for each ammo runt this unit has, when this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, ranged weapons equipped by models in this unit have the [LETHAL HITS] ability.Designers Note: Place the relevant number of Ammo Runt tokens next to the unit, removing one each time the unit uses this ability.|Wargear||
22|1|8346.0||||Core||
22|2|3676.0||||Faction||
22|3|||Plant the Waaagh! Banner|Once per battle, at the start of the battle round, this model can use this ability. If it does, until the start of the next battle round, this models unit gains the benefits of the Waaagh! ability as if you had called a Waaagh! this battle round.|Datasheet||
22|4|||Da Boss Iz Watchin|While this model is gaining the benefits of the Waaagh! ability, it has a 4+ invulnerable save and an Objective Control characteristic of 5.|Datasheet||
23|1|3676.0||||Faction||
23|2|||Drive-by Krumpin'|"Each time this unit Consolidates, each model in this unit can move up to 6"" instead of up to 3""."|Datasheet||
23|3|||SPEED FREEKS MOB|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special ( )||
24|1|3676.0||||Faction||
24|2|||Krumpin Time|While the Waaagh! is active for your army, models in this unit have the Feel No Pain 5+ ability.|Datasheet||
25|1|8345.0||||Core||
25|2|8337.0||||Core||
25|3|3676.0||||Faction||
25|4|||Distraction Grot|Once per battle, in your opponents Shooting phase, before making a saving throw for a model in this unit, it can deploy the distraction grot. If it does, until the end of the phase, models in this unit have a 5+ invulnerable save.Designers Note: Place a Distraction Grot token next to the unit, removing it when this unit uses this ability.|Wargear||
25|5|||Bomb Squigs|"Once per battle, for each bomb squig this unit has, after this unit ends a Normal move, you can use one Bomb Squig. If you do, select one enemy unit within 12"" and visible to this unit and roll one D6: on a 3+, that enemy unit suffers D3 mortal wounds.Designers Note: Place a Bomb Squig token next to the unit, removing it when this unit uses this ability."|Wargear||
25|6|||Sneaky Surprise|Enemy units cannot use the Fire Overwatch Stratagem to shoot at this unit.|Datasheet||
25|7|||PATROL SQUAD|At the start of the Declare Battle Formations step this unit can be split into two units, each containing five models.(when splitting a unit in this way, make a note of which models form each of the two new units. If you are splitting a unit that is equipped with 1 bomb squig and/or 1 distraction grot, only one of the new units can use that ability during the battle  make a note of which of the new units this will be).|Fortification ( )||
26|1|8339.0||||Core|D3|
26|2|8334.0||||Core|12|
26|3|3676.0||||Faction||
26|4|||Grot Riggers|At the start of your Command phase, this model regains 1 lost wound.|Datasheet||
27|1|8343.0||||Core||
27|2|3676.0||||Faction||
27|3|||Full Throttle|This unit is eligible to declare a charge in a turn in which it Advanced or Fell Back.|Datasheet||
28|1|8343.0||||Core||
28|2|3676.0||||Faction||
28|3|||Deff from Above|Each time this unit ends a Normal move, you can select one enemy unit it moved over during that move and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers 1 mortal wound.|Datasheet||
29|1|8339.0||||Core|D3|
29|2|3676.0||||Faction||
29|3|||Dakkastorm|Each time this model makes a ranged attack, every successful Hit roll scores a Critical Hit.|Datasheet||
30|1|8339.0||||Core|D3|
30|2|3676.0||||Faction||
30|3|||Burna Bomb|Each time this model ends a Normal move, you can select one enemy unit it moved over during that move. Until the end of the turn, models in that unit cannot have the Benefit of Cover. In addition, roll one D6 for each model in that unit: for each 6, that unit suffers 1 mortal wound.|Datasheet||
31|1|8339.0||||Core|D3|
31|2|3676.0||||Faction||
31|3|||Boom Bomb|Each time this model ends a Normal move, you can select one enemy unit it moved over during that move and roll one D6: on a 4+, that unit suffers D6 mortal wounds.|Datasheet||
32|1|8339.0||||Core|D3|
32|2|3676.0||||Faction||
32|3|||Blastajet Attack Run|Each time this model makes a ranged attack that targets a unit that cannot FLY, re-roll a Hit roll of 1.|Datasheet||
32|4|||Blastajet Force Field|The bearer has a 4+ invulnerable save, but it loses the Grenades keyword.|Wargear||
33|1|3676.0||||Faction||
33|2|||Drive-by Dakka|"Each time a model in this unit makes a ranged attack that targets a unit within 9"", improve the Armour Penetration characteristic of that attack by 1."|Datasheet||
34|1|3676.0||||Faction||
34|2|||Drive-by Dakka|"Each time a model in this unit makes a ranged attack that targets a unit within 9"", improve the Armour Penetration characteristic of that attack by 1."|Datasheet||
34|3|||SPEED FREEKS|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special ( )||
35|1|3676.0||||Faction||
35|2|||Pyromaniaks|"Each time a model in this unit makes a ranged attack with a Torrent weapon that targets an enemy unit within 6"", re-roll a Wound roll of 1. If the target of that attack is also within range of an objective marker, you can re-roll the Wound roll instead."|Datasheet||
35|3|||SPEED FREEKS|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special ( )||
36|1|3676.0||||Faction||
36|2|||Outflank|When this unit arrives from Strategic Reserves, it can be set up within your opponents deployment zone (all other restrictions still apply).|Datasheet||
36|3|||SPEED FREEKS|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special ( )||
37|1|3676.0||||Faction||
37|2|||Splat!|Each time a model in this unit makes a ranged attack that targets a unit containing 10 or more models, re-roll a Hit roll of 1.|Datasheet||
37|3|||BIG GUNZ|Designers Note: Place two Grot Crew tokens next to each Mek Gun model when this unit is first set up, removing one each time its Big Gun model loses a wound (a Big Gun model itself is considered to represent its final wound).|Special ( )||
38|1|3676.0||||Faction||
38|2|||Splat!|Each time a model in this unit makes a ranged attack that targets a unit that is at its Starting Strength (excluding MONSTERS and VEHICLES), re-roll a Hit roll of 1.|Datasheet||
38|3|||Bubblechukka|Before selecting targets for one or more models equipped with this weapon, roll one D6 to determine which profile models equipped with this weapon will make attacks with, comparing the result with the numbers shown on the left.|Wargear profile||
39|1|8339.0||||Core|D6|
39|2|8334.0||||Core|11|
39|3|3676.0||||Faction||
39|4|||Ramshackle but Rugged|Each time an attack is allocated to this model, worsen the Armour Penetration characteristic of that attack by 1.|Datasheet||
39|5|||Ard Case|Add 2 to the bearers Toughness characteristic, but it no longer has the Firing Deck ability.|Wargear||
40|1|8339.0||||Core|1|
40|2|3676.0||||Faction||
40|3|||Piston-driven Brutality|Each time this model ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers D3+3 mortal wounds.|Datasheet||
40|4|||Dead Choppy|The Attacks characteristic of this weapon is increased by 1 for each additional dread klaw this model is equipped with.|Wargear profile||
41|1|8339.0||||Core|1|
41|2|3676.0||||Faction||
41|3|||Shooty Power Trip|Each time this unit is selected to shoot, you can roll one D6:On a 1-2, this unit suffers D3 mortal wounds.On a 3-4, until the end of the phase, add 1 to the Strength characteristic of ranged weapons equipped by models in this unit.On a 5-6, until the end of the phase, add 1 to the Attacks characteristic of ranged weapons equipped by models in this unit.|Datasheet||
42|1|8339.0||||Core|D6|
42|2|3676.0||||Faction||
42|3|||Clankin Forward|"Each time this model makes a Normal, Advance or Fall Back move, it can move over enemy models (excluding MONSTER and VEHICLE models) and terrain features that are 4"" or less in height as if they were not there."|Datasheet||
42|4|||Big an Shooty|Each time this model makes a ranged attack, if the Waaagh! is active for your army, add 1 to the Hit roll.|Datasheet||
43|1|8339.0||||Core|D6|
43|2|3676.0||||Faction||
43|3|||Clankin Forward|"Each time this model makes a Normal, Advance or Fall Back move, it can move over enemy models (excluding MONSTER and VEHICLE models) and terrain features that are 4"" or less in height as if they were not there."|Datasheet||
43|4|||Big an Stompy|Each time this model makes a melee attack, if the Waaagh! is active for your army, add 1 to the Hit roll.|Datasheet||
44|1|3676.0||||Faction||
44|2|||Dats Our Loot!|Each time a model in this unit makes a ranged attack, re-roll a Hit roll of 1. If that attack targets a unit that is within range of an objective marker, you can re-roll the Hit roll instead.|Datasheet||
45|1|3676.0||||Faction||
45|2|||Gun-crazy Show-offs|Each time a model in this unit targets the closest eligible target with its snazzgun, until the end of the phase, that weapon has an Attacks characteristic of 4.|Datasheet||
45|3|||Ammo Runt|Once per battle, when this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, ranged weapons equipped by models in this unit have the [LETHAL HITS] ability.Designers Note: Place an Ammo Runt token next to the unit, removing it after this ability has been used.|Wargear||
46|1|8339.0||||Core|2D6|
46|2|3676.0||||Faction||
46|3|||Waaagh! Effigy (Aura)|"While a friendly ORKS unit is within 12"" of this model, each time you take a Battle-shock test for that unit, add 1 to that test."|Datasheet||
46|4|||Stompin Forward|"Each time this model makes a Normal, Advance or Fall Back move, it can move over models (excluding TITANIC models) and terrain features that are 4"" or less in height as if they were not there."|Datasheet||
49|1|8339.0||||Core|1|
49|2|3676.0||||Faction||
49|3|||Scatter!|"Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9"" of this unit, if this unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6""."|Datasheet||
50|1|8339.0||||Core|D3|
50|2|3676.0||||Faction||
50|3|||Bizarrely Resilient|Each time an attack targets this model, worsen the Armour Penetration characteristic of that attack by 1.|Datasheet||
51|1|8339.0||||Core|D6|
51|2|8334.0||||Core|10|
51|3|3676.0||||Faction||
51|4|||Trample|Each time this model is selected to fight, you can select one enemy unit within Engagement Range of it and roll one D6, adding 2 to the result if this model made a Charge move this turn: on a 4-5, that enemy unit suffers D3 mortal wounds; on a 6+, that enemy unit suffers 3 mortal wounds.|Datasheet||
52|1|8339.0||||Core|D6|
52|2|3676.0||||Faction||
52|3|||Mekaniak|"At the end of your Movement phase, you can select one friendly Orks Vehicle model within 3"" of this model. That VEHICLE model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that VEHICLE model makes an attack, add 1 to the Hit roll. Each model can only be selected for this ability once per turn."|Datasheet||
52|4|||Dead Rippy|If this model is equipped with 2 dread killsaws, those weapons have the [TWIN-LINKED] ability. If this model is equipped with 2 dread rippa klaws, those weapons have the [TWIN-LINKED] ability.|Datasheet||
53|1|8339.0||||Core|D6|
53|2|3676.0||||Faction||
53|3|||Da Bigger Dey Are, da Better Dey Drop|Each time an attack made with this models lifta-droppa destroys an enemy model that has the Deadly Demise ability, that models Deadly Demise ability inflicts mortal wounds on a D6 roll of 3+ instead of on a 6.|Datasheet||
54|1|8339.0||||Core|D3|
54|2|8334.0||||Core|12|
54|3|3676.0||||Faction||
54|4|||Spiked Ram|Each time this model ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers 3 mortal wounds.|Datasheet||
55|1|8339.0||||Core|D6|
55|2|8334.0||||Core|6|
55|3|3676.0||||Faction||
55|4|||Big Booms|"In your Shooting phase, just after selecting a target for this models supa-kannon, roll one D6 for the target unit and every other unit within 3"" of that unit: on a 5+, the unit being rolled for is struck by a concussive wave. After this model has finished making its attacks against that target unit this phase, each unit struck by a concussive wave this phase suffers D3 mortal wounds."|Datasheet||
56|1|8339.0||||Core|D6+2|
56|2|3676.0||||Faction||
56|3|||Wall of Dakka|Each time this model makes a ranged attack that targets a unit within half range, add 1 to the Hit roll.|Datasheet||
57|1|8339.0||||Core|D3|
57|2|8343.0||||Core||
57|3|8334.0||||Core|12|
57|4|3676.0||||Faction||
57|5|||Big Bomms|Once per battle, after the bearer ends a Normal move, you can select one enemy unit it moved across during that move and roll six D6: for each 4+, that unit suffers 1 mortal wound.|Wargear||
57|6|||Aerial Deployment|If this model starts the game in Strategic Reserves, it can be set up in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules.|Datasheet||
59|1|8339.0||||Core|2D6|
59|2|8334.0||||Core|20|
59|3|3676.0||||Faction||
59|4|||Gargantuan|"Each time this model makes a Normal, Advance or Fall Back move, it can move over models (excluding TITANIC models) and terrain features that are 4"" or less in height as if they were not there."|Datasheet||
59|5|||Walking Bastion|This model does not suffer the penalty to its Hit rolls for making ranged attacks while enemy units are within Engagement Range of it.|Datasheet||
60|1|8346.0||||Core||
60|2|8350.0||||Faction||
60|3|||Surgical Precision|While this model is leading a unit, weapons equipped by models in that unit have the [LETHAL HITS] ability.|Datasheet||
60|4|||Vivispectrum|If this models unit destroys an enemy unit as the result of a melee attack, until the end of the battle, this model has an Objective Control characteristic of 9.|Datasheet||
61|1|8350.0||||Faction||
61|2|||Astartes Shield|The bearer has a 4+ invulnerable save.|Wargear||
61|3|||Chainsword Doctrines|Each time this unit is selected to fight, select one of the following abilities to apply to all Astartes chainswords equipped by models in this unit until the end of the phase: [SUSTAINED HITS 1] [LETHAL HITS] [LANCE]|Datasheet||
61|4|||ATTACHED UNITS|If a Character unit from your army with the Leader ability can be attached to an Assault Intercessor Squad, it can also be attached to this unit.|Special ( )||
63|1|8346.0||||Core||
63|2|8350.0||||Faction||
63|3|||Narthecium|While this model is leading a unit, in your Command phase, you can return 1 destroyed model (excluding Character models) to that unit.|Datasheet||
63|4|||Gene-seed Recovery|When this models Bodyguard unit is destroyed, roll one D6: on a 2+, you gain 1CP.|Datasheet||
64|1|8343.0||||Core||
64|2|8350.0||||Faction||
64|3|||Astartes Shield|The bearer has a 4+ invulnerable save.|Wargear||
64|4|||Hammer of Wrath|Each time this unit ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers 1 mortal wound.|Datasheet||
64|5|||ATTACHED UNITS|If a Character unit from your army with the Leader ability can be attached to Assault Intercessors with Jump Packs, it can also be attached to this unit.|Special ( )||
65|1|8339.0||||Core|D6|
65|2|8350.0||||Faction||
65|3|||Assault Ramp|Each time a unit disembarks from this model after it has made a Normal move, that unit is still eligible to declare a charge this turn.|Datasheet||
65|4|||One Shot|The bearer can only shoot with this weapon once per battle.|Wargear profile||
66|1|8339.0||||Core|D6|
66|2|8350.0||||Faction||
66|3|||Assault Ramp|Each time a unit disembarks from this model after it has made a Normal move, that unit is still eligible to declare a charge this turn.|Datasheet||
66|4|||One Shot|The bearer can only shoot with this weapon once per battle.|Wargear profile||
67|1|8339.0||||Core|D6|
67|2|8350.0||||Faction||
67|3|||Rites of Battle|Once per battleround, one unit from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.|Datasheet||
67|4|||Assault Ramp|Each time a unit disembarks from this model after it has made a Normal move, that unit is still eligible to declare a charge this turn.|Datasheet||
67|5|||One Shot|The bearer can only shoot with this weapon once per battle.|Wargear profile||
68|1|8343.0||||Core||
68|2|8350.0||||Faction||
68|3|||Suppression Fire|In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks made with an accelerator autocannon. Until the start of your next turn, while this unit is on the battlefield, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.|Datasheet||
70|1|8350.0||||Faction||
70|2|||Combat Squads|At the start of the Declare Battle Formations step, before any units have been set up, this unit can be split into two units, each containing five models.|Datasheet||
71|1|8350.0||||Faction||
71|2|||Bladeguard|At the start of the Fight phase, you can select one of the following abilities to apply to models in this unit until the end of the phase: Swords of the Chapter: Each time a model in this unit makes a melee attack, re-roll a Hit roll of 1. Shields of the Chapter: Each time an invulnerable saving throw is made for a model in this unit, re-roll a saving throw of 1.|Datasheet||
72|1|8339.0||||Core|D6|
72|2|8342.0||||Core||
72|3|8350.0||||Faction||
72|4|||Into the Foe|If a unit disembarks from this TRANSPORT before it moves, until the end of the turn, that unit is eligible to charge in a turn in which it Advanced.|Datasheet||
73|1|8346.0||||Core||
73|2|8350.0||||Faction||
73|3|||Relic Shield|The bearer has a Wounds characteristic of 6.|Wargear||
73|4|||Rites of Battle|Once per battleround, one unit from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.|Datasheet||
73|5|||Finest Hour|Once per battle, at the start of the Fight phase, this model can use this ability. If it does, until the end of the phase, add 3 to the Attacks characteristic of melee weapons equipped by this model and those weapons have the [DEVASTATING WOUNDS] ability.|Datasheet||
76|1|8338.0||||Core|5+|
76|2|8345.0||||Core||
76|3|8336.0||||Core||
76|4|8337.0||||Core||
76|5|8350.0||||Faction||
76|6|||Priority Objective Identified|At the start of the first battle round, if your army includes one or more models with this ability, you can select one objective marker on the battlefield. Until the end of the battle, while one or more models with this ability are on the battlefield, each time a friendly ADEPTUS ASTARTES model makes an attack that targets an enemy unit that is within range of that objective marker, re-roll a Wound roll of 1.|Datasheet||
76|7|||Evade and Survive|"Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9"" of this unit, if this unit is not within Engagement Range of one or more enemy units, it can make a Normal move."|Datasheet||
76|8|||LAST SURVIVOR|This model cannot be selected as your Warlord.|Special ( )||
79|1|8343.0||||Core||
79|2|8346.0||||Core||
79|3|8350.0||||Faction||
79|4|||Psychic Hood|While this model is leading a unit, models in that unit have the Feel No Pain 4+ ability against Psychic Attacks.|Datasheet||
79|5|||Veil of Time (Psychic)|While this model is leading a unit, weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.|Datasheet||
81|1|8346.0||||Core||
81|2|8350.0||||Faction||
81|3|||Lead From the Front|"While this model is leading a unit, models in that unit have the Scouts 6"" ability and ranged weapons equipped by models in that unit have the [ASSAULT] ability."|Datasheet||
81|4|||Lightning Assault|"Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9"" of this model, if this models unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6""."|Datasheet||
83|1|8343.0||||Core||
83|2|8346.0||||Core||
83|3|8350.0||||Faction||
83|4|||Angels Wrath|While this model is leading a unit, each time that unit ends a Charge move, until the end of the turn, add 1 to the Strength characteristic of melee weapons equipped by models in that unit.|Datasheet||
83|5|||Rites of Battle|Once per battleround, one unit from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.|Datasheet||
83|6|||Relic Shield|The bearer has a Wounds characteristic of 6.|Wargear||
84|1|8339.0||||Core|D3|
84|2|8350.0||||Faction||
84|3|||Interceptor|Each time this model makes a ranged attack that targets a unit that can Fly, add 1 to the Hit roll.|Datasheet||
85|1|8339.0||||Core|D3|
85|2|8350.0||||Faction||
85|3|||Self Repair|At the end of your Command phase, this model regains 1 lost wound.|Datasheet||
85|4|||Orbital Comms Array (Aura)|"While a friendly ADEPTUS ASTARTES unit is within 6"" of the bearer, each time you target that unit with a Stratagem, roll one D6: on a 5+, you gain 1CP."|Datasheet||
85|5|||One Shot|The bearer can only shoot with this weapon once per battle.|Wargear profile||
86|1|8350.0||||Faction||
86|2|||Sentinel Protocols|Each time you select this unit for the Fire Overwatch Stratagem, hits are scored on unmodified Hit rolls of 4+ when resolving that Stratagem.|Datasheet||
87|1|8339.0||||Core|1|
87|2|8343.0||||Core||
87|3|8350.0||||Faction||
87|4|||Drop Pod Assault|"This model must start the battle in Reserves and can be set up in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules. Any units embarked within this model must immediately disembark after it has been set up on the battlefield, and they must be set up more than 9"" away from all enemy models."|Datasheet||
87|5|||Combat Disembarkation|Each time a unit disembarks from this model after it has been set up on the battlefield, that unit is still eligible to declare a charge this turn.|Datasheet||
87|6|||Deployment Complete|Once this unit is set up on the battlefield and all units within it have disembarked, until the end of the battle, units cannot embark within this TRANSPORT.|Datasheet||
87|7|||Designers Note|The highlighted portions of this model are the only parts that are considered to make up its hull. Models can be set up or end a move on any part of this model that is not highlighted in red. If any models are on non-highlighted sections of this model when it is destroyed, place those models as close to their original position as possible, on the battlefield, after removing this model.$000003426| ||
91|1|8339.0||||Core|D3|
91|2|8350.0||||Faction||
