faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
|ALL IN|10254002|Challenger  Strategic Ploy Stratagem|0.0|The time has come to commit your forces. Order your soldiers forward, pursue the foe and cut them down without mercy. Victory or death!|Your turn|Fight phase|||"WHEN: Your Fight phase.TARGET: One unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3"". In addition, it does not need to end that move closer to the closest enemy model, provided it ends it as close as possible to the closest enemy unit."|
|STRATEGIC RETREAT|10255002|Challenger  Strategic Ploy Stratagem|0.0|The soundest military minds find no shame in signalling a retreat. Strength preserved may prove pivotal at a later juncture.|Your turn|Shooting phase|||WHEN: Start of your Shooting phase.TARGET: One unit from your army (excluding MONSTERS and VEHICLES) that is not within Engagement Range of one or more enemy units.EFFECT: Remove your unit from the battlefield and place it into Strategic Reserves.|
|BURST OF SPEED|10247002|Challenger  Strategic Ploy Stratagem|0.0|Having unleashed hell upon their target, this unit presses forward, lent fresh speed and impetus by the invigorating thrill of battle.|Your turn|Shooting phase|||"WHEN: End of your Shooting phase.TARGET: One unit from your army (excluding units that made a move this phase).EFFECT: Your unit can make a Normal move of up to D6"", and then cannot move again this phase."|
|HARBOURED POWER|10253002|Challenger  Wargear Stratagem|0.0|Overcharged power packs, experimental ammunition, potent combat stimms or sorcerous might: these assets may be expended in the pursuit of victory.|Your turn|Shooting or Fight phase|||WHEN: Your Shooting phase or your Fight phase.TARGET: One unit from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, weapons equipped by models in your unit have the [HAZARDOUS] ability and your choice of the [LETHAL HITS] or [SUSTAINED HITS 1] ability.|
|GO TO GROUND|8335010|Core  Battle Tactic Stratagem|1.0|Seeking salvation from incoming fire, warriors hurl themselves into whatever cover they can find.|Opponents turn|Shooting phase|||WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One INFANTRY unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, all models in your unit have a 6+ invulnerable save and have the Benefit of Cover.|
|COMMAND RE-ROLL|8335002|Core  Battle Tactic Stratagem|1.0|A great commander can bend even the vagaries of fate and fortune to their will, the better to ensure victory.|Either players turn|Any phase|||WHEN: Any phase, just after you make an Advance roll, a Charge roll, a Desperate Escape test or a Hazardous test for a unit from your army, or a Hit roll, a Wound roll, a Damage roll or a saving throw for a model in that unit, or a roll to determine the number of attacks made with a weapon equipped by a model in that unit. If you are using fast dice rolling, this Stratagem can still be used after rolling multiple rolls or saving throws at once.TARGET: That unit or model from your army.EFFECT: You re-roll that roll, test or saving throw. If you are using fast dice rolling, select one of those rolls or saving throws to re-roll.|
|INSANE BRAVERY|8335005|Core  Epic Deed Stratagem|1.0|Indifferent to their own survival, these warriors hold their ground against seemingly impossible odds.|Your turn|Command phase|||WHEN: Battle-shock step of your Command phase, just before you take a Battle-shock test for a unit from your army.TARGET: That unit from your army.EFFECT: Your unit automatically passes that Battle-shock test.RESTRICTIONS: You cannot use this Stratagem more than once per battle.|
|EPIC CHALLENGE|8335004|Core  Epic Deed Stratagem|1.0|The legends of the 41st Millennium are replete with deadly duels between mighty champions.|Either players turn|Fight phase|||WHEN: Fight phase, when a CHARACTER unit from your army that is within Engagement Range of one or more Attached units is selected to fight.TARGET: One CHARACTER model in your unit.EFFECT: Until the end of the phase, all melee attacks made by that model have the [PRECISION] ability.|
|TANK SHOCK|8335007|Core  Strategic Ploy Stratagem|1.0|Ramming the foe with a speeding vehicle may be an unsubtle tactic, but it is a murderously effective one.|Your turn|Charge phase|||WHEN: Your Charge phase, just after a VEHICLE unit from your army ends a Charge move.TARGET: That VEHICLE unit.EFFECT: Select one enemy unit within Engagement Range of your unit, and select one VEHICLE model in your unit that is within Engagement Range of that enemy unit. Roll a number of D6 equal to the Toughness characteristic of the selected VEHICLE model. For each 5+, that enemy unit suffers 1 mortal wound (to a maximum of 6 mortal wounds).|
|HEROIC INTERVENTION|8335012|Core  Strategic Ploy Stratagem|1.0|Voices raised in furious war cries, your warriors surge forth to meet the enemys onslaught head-on.|Opponents turn|Charge phase|||"WHEN: Your opponents Charge phase, just after an enemy unit ends a Charge move.TARGET: One unit from your army that is within 6"" of that enemy unit and would be eligible to declare a charge against that enemy unit if it were your Charge phase.EFFECT: Your unit now declares a charge that targets only that enemy unit, and you resolve that charge as if it were your Charge phase.RESTRICTIONS: You can only select a VEHICLE unit from your army if it is a WALKER. Note that even if this charge is successful, your unit does not receive any Charge bonus this turn."|
|FIRE OVERWATCH|8335009|Core  Strategic Ploy Stratagem|1.0|A hail of wildfire can drive back advancing foes.|Opponents turn|Movement or Charge phase|||"WHEN: Your opponents Movement or Charge phase, just after an enemy unit is set up or when an enemy unit starts or ends a Normal, Advance or Fall Back move, or declares a charge.TARGET: One unit from your army that is within 24"" of that enemy unit and that would be eligible to shoot if it were your Shooting phase.EFFECT: If that enemy unit is visible to your unit, your unit can shoot that enemy unit as if it were your Shooting phase.RESTRICTIONS: You cannot target a TITANIC unit with this Stratagem. Until the end of the phase, each time a model in your unit makes a ranged attack, an unmodified Hit roll of 6 is required to score a hit, irrespective of the attacking weapons Ballistic Skill or any modifiers. You can only use this Stratagem once per turn."|
|RAPID INGRESS|8335008|Core  Strategic Ploy Stratagem|1.0|Be it cunning strategy, potent technology or supernatural ritual, there are many means by which a commander may hasten their warriors onset.|Opponents turn|Movement phase|||WHEN: End of your opponents Movement phase.TARGET: One unit from your army that is in Reserves.EFFECT: Your unit can arrive on the battlefield as if it were the Reinforcements step of your Movement phase, and if every model in that unit has the Deep Strike ability, you can set that unit up as described in the Deep Strike ability (even though it is not your Movement phase).RESTRICTIONS: You cannot use this Stratagem to enable a unit to arrive on the battlefield during a battle round it would not normally be able to do so in.|
|COUNTER-OFFENSIVE|8335003|Core  Strategic Ploy Stratagem|2.0|In close-quarters combat, the slightest hesitation can leave an opening for a swift foe to exploit.|Either players turn|Fight phase|||WHEN: Fight phase, just after an enemy unit has fought.TARGET: One unit from your army that is within Engagement Range of one or more enemy units and that has not already been selected to fight this phase.EFFECT: Your unit fights next.|
|SMOKESCREEN|8335011|Core  Wargear Stratagem|1.0|Even the most skilled marksmen struggle to hit targets veiled by billowing screens of smoke.|Opponents turn|Shooting phase|||WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One SMOKE unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, all models in your unit have the Benefit of Cover and the Stealth ability.|
|GRENADE|8335006|Core  Wargear Stratagem|1.0|Priming their hand-held projectiles, these warriors draw back and hurl death into the enemys midst.|Your turn|Shooting phase|||"WHEN: Your Shooting phase.TARGET: One GRENADES unit from your army (excluding units that Advanced, Fell Back or have shot this turn) that is not within Engagement Range of one or more enemy units.EFFECT: Select one GRENADES model in your unit and one enemy unit that is not within Engagement Range of any units from your army and is within 8"" of and visible to your GRENADES model. Roll six D6: for each 4+, that enemy unit suffers 1 mortal wound."|
|NEW ORDERS|9063002|Core Stratagem  Strategic Ploy Stratagem|1.0|High command has received new intelligence.|Your turn|Command phase|||WHEN: End of your Command phase.TARGET: One of your active Secondary Mission cards.EFFECT: Discard it and draw one new Secondary Mission card.|
|NEW ORDERS|10245002|Core Stratagem  Strategic Ploy Stratagem|1.0|High command has received new intelligence.|Your turn|Command phase|||WHEN: End of your Command phase.TARGET: One of your active Secondary Mission cards.EFFECT: Discard it and draw one new Secondary Mission card.|
|NEW ORDERS|8539002|Core Stratagem  Strategic Ploy Stratagem|1.0|High command has received new intelligence.|Your turn|Command phase|||WHEN: End of your Command phase.TARGET: One of your active Secondary Mission cards.EFFECT: Discard it and draw one new Secondary Mission card.RESTRICTIONS: You can only use this Stratagem once per battle.|
AC|THE EMPERORS AUSPICE|8931004|Auric Champions  Epic Deed Stratagem|1.0|In an age plagued by monsters, when primordial horrors from the darkest void circle Humanity's dying light, still the Adeptus Custodes stand strong.|Either players turn|Shooting or Fight phase|Auric Champions|863.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One Adeptus Custodes Character unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, CHARACTER models in your unit have the Feel No Pain 4+ ability.|
AC|VIGIL UNENDING|8931006|Auric Champions  Epic Deed Stratagem|2.0|The Custodes do not yield while their duty remains unfulfilled.|Either players turn|Fight phase|Auric Champions|863.0|WHEN: Fight phase.TARGET: One Adeptus Custodes Character model from your army that was just destroyed and has not fought this phase. You can use this Stratagem on that unit even though it was just destroyed.EFFECT: Do not remove your destroyed model from play. The destroyed model can fight after the attacking unit has finished making attacks, and is then removed from play.|
AC|EARNING OF A NAME|8931005|Auric Champions  Epic Deed Stratagem|1.0|To lay low the greatest and most terrible monsters and heretics is to earn new names for a Custodian's mighty tally.|Either players turn|Fight phase|Auric Champions|863.0|WHEN: Fight phase.TARGET: Up to two Adeptus Custodes Character units from your army that have not been selected to fight this phase.EFFECT: Until the end of the phase, each time a CHARACTER model in either of your units makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Hit roll and you can re-roll the Wound roll.|
AC|SLAYER OF CHAMPIONS|8931002|Auric Champions  Epic Deed Stratagem|1.0|Whatfoe can withstand a warrior who has so tested the defences of the Throneworld itself?|Either players turn|Any phase|Auric Champions|863.0|WHEN: Any phase.TARGET: One Adeptus Custodes Character unit from your army that has just destroyed the unit you selected at the start of your Command phase as the target of your Assemblage of Might ability.EFFECT: Select one enemy unit on the battlefield Until the start of your next Command phase, each time an ADEPTUS CUSTODES CHARACTER model from your army makes an attack that target that enemy unit, add 1 to the Wound roll In addition, if the destroyed unit was a CHARACTER unit, gain 1CP.|
AC|SUPERHUMAN RESERVES|8931003|Auric Champions  Epic Deed Stratagem|2.0|With practiced ease, the Talons of the Emperor establish vicious crossfires to cut the foe apart.|Either players turn|Any phase|Auric Champions|863.0|WHEN: Any phase, just after an Adeptus Custodes Warlord model from your army has used an ability on its datasheet or from an Enhancement that says it can only be used Once per battle.TARGET: That Adeptus Custodes Warlord model.EFFECT: Your model can use its Once per battle ability one additional time during this battle (but not in the same phase).RESTRICTIONS: You cannot use this Stratagem more than once per battle.|
AC|SHOULDER THE MANTLE|8931007|Auric Champions  Epic Deed Stratagem|1.0|The greatest Custodians know when it is both their duty and their right to command their comrades.|Your turn|Movement phase|Auric Champions|863.0|"WHEN: Your Movement phase, before the Reinforcements step.TARGET: One Adeptus Custodes Character model from your army that is not leading a unit.EFFECT: Select one friendly unit (excluding Battle-shocked and Attached units) within 2"" horizontally and 5"" vertically of your model that it could lead (as described in the Leader section of its datasheet). Your model attaches to that unit as a Leader. Change that units Starting Strength accordingly."|
AC|BLADES OF THE VIGILATORS|9274002|Black Ship Guardians  Battle Tactic Stratagem|1.0|Though intended for lopping the heads from witches, the Vigilators' long blades also allow for skilful parrying of incoming attacks.|Either players turn|Fight phase|Black Ship Guardians|910.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One VIgiLATORS, ALEYA or KNIGHT-CENTURA equipped with an executioner greatblade unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time an attack targets your unit, subtract 1 from the Wound roll.|
AC|PUNISHMENT OF THE PROSECUTORS|9274005|Black Ship Guardians  Battle Tactic Stratagem|1.0|The Prosecutors cut down without mercy all who dare stand between the Silent Sisters and their prey.|Your turn|Shooting phase|Black Ship Guardians|910.0|WHEN: Your Shooting phase.TARGET: One PROSEcUTORS unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, improve the Armour Penetration characteristic of ranged weapons equipped by models in your unit by 1. In addition, each time a model in your unit makes a ranged attack, on a Critical Wound, improve the Armour Penetration characteristic of that attack by an additional 1.|
AC|FOCUSED FEAR|9274003|Black Ship Guardians  Battle Tactic Stratagem|1.0|Fighting in the confines of a voidship heightens the fearful aura of the Sisters of Silence, fouling their foes'aim and weakening their sword arms.|Either players turn|Shooting or Fight phase|Black Ship Guardians|910.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One ANATHEMA PSYKANA unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
AC|CORNERED PREY|9274004|Black Ship Guardians  Strategic Ploy Stratagem|1.0|Once they have their quarry trapped within a section of the voidship, the Silent Sisters relentlessly run them to ground.|Your turn|Movement phase|Black Ship Guardians|910.0|WHEN: Your Movement phase, just after an ANATHEMA PSYKANA unit from your army Falls Back.TARGET: That ANATHEMA PSYKANA unit.EFFECT: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Fell Back.|
AC|PEERLESS WARRIOR|9988004|Lions of the Emperor  Battle Tactic Stratagem|1.0|With every strike, the Lions of the Emperor prove themselves the masters of single combat, even when engaging the mightiest foes.|Either players turn|Fight phase|Lions of the Emperor|1029.0|WHEN: Fight phase.TARGET: One ADEPTUS CUSTODES unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, melee weapons equipped by models in your unit have the [PRECISION] ability.|
AC|SWIFT AS THE EAGLE|9988007|Lions of the Emperor  Strategic Ploy Stratagem|1.0|Although every Custodian is devastatingly fast on the battlefield, with preternatural reactions to match, the Lions of the Emperor are outstanding even among their peers.|Opponents turn|Shooting phase|Lions of the Emperor|1029.0|"WHEN: Your opponents Shooting phase, just after an enemy unit has shot.TARGET: One ADEPTUS CUSTODES unit from your army (excluding VEHICLE units) that was selected as the target of one or more of the attacking units attacks.EFFECT: Your unit can make a Normal move of up to D6""."|
AC|MANOEUVRE AND FIRE|9988006|Lions of the Emperor  Strategic Ploy Stratagem|1.0|The Adeptus Custodes are unrelenting in their advance, laying down punishing fire even as they manoeuvre to new positions.|Your turn|Movement phase|Lions of the Emperor|1029.0|WHEN: Your Movement phase, just after an ADEPTUS CUSTODES unit from your army Falls Back.TARGET: That ADEPTUS CUSTODES unit.EFFECT: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Fell Back.|
AC|UNLEASH THE LIONS|9988005|Lions of the Emperor  Strategic Ploy Stratagem|1.0|Heroic bands of Terminator-armoured Custodians engage entire armies in unrelenting battle.|Your turn|Command phase|Lions of the Emperor|1029.0|WHEN: Your Command phase.TARGET: One Allarus Custodians or Aquilon Custodians unit from your army that is on the battlefield.EFFECT: That unit is split into separate units, each containing one model. These new units each have a Starting Strength of 1.|
AC|DEFIANT TO THE LAST|9988003|Lions of the Emperor  Strategic Ploy Stratagem|1.0|The harder the battle, and the heavier their losses, the more resolute the Lions of the Emperor become.|Either players turn|Fight phase|Lions of the Emperor|1029.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One ADEPTUS CUSTODES unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6, adding 2 to the result if that model has the CHARACTER keyword. On a 4+, do not remove it from play; the destroyed model can fight after the attacking unit has finished making its attacks (when doing so, it is treated as having 1 wound remaining), and is then removed from play.|
AC|GILDED CHAMPION|9988002|Lions of the Emperor  Strategic Ploy Stratagem|1.0|The shining champions of the Adeptus Custodes are looked upon in awe by all who witness their grim arts. Their judgement is without flaw, and their tactical acumen utterly impeccable.|Either players turn|Any phase|Lions of the Emperor|1029.0|WHEN: Any phase, just after an Adeptus Custodes Character model from your army has used an ability on its datasheet that states it can only be used once per battle.TARGET: That ADEPTUS CUSTODES CHARACTER model.EFFECT: Your model can use that once per battle ability one additional time during the battle (but not in the same phase).RESTRICTIONS: You cannot use this Stratagem on the same ADEPTUS CUSTODES CHARACTER model more than once per battle.|
AC|ANATHEMA BLADEMASTERY|8927004|Null Maiden Vigil  Battle Tactic Stratagem|1.0|The Vigilators train tirelessly in the art of the swift, beheading strike, with a particular emphasis on the swift elimination of enemy witches.|Either players turn|Fight phase|Null Maiden Vigil|862.0|WHEN: Fight phase.TARGET: One Vigilators unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes a melee attack, you can re-roll the Hit roll If the target of that attack is Battle-shocked or a PSYKER, you can re-roll the Wound roll as well.|
AC|WITCH HUNTERS|8927003|Null Maiden Vigil  Battle Tactic Stratagem|1.0|Null Maidens train to slay psykers with swift martial efficiency, for they know their prey have many weapons beyond just their powers and must not be allowed time or opportunity to employ them.|Either players turn|Shooting or Fight phase|Null Maiden Vigil|862.0|WHEN: Your Shooting phase or the Fight phase.TARGET: One Anathema Psykana unit from your army that has not been selected to shoot or fight this phase.EFFECT: Select either the [LETHAL HITS] or [SUSTAINED HITS 1] ability. Until the end of the phase, weapons equipped by models in your unit have the selected ability, but models in your unit can only target PSYKER units with their attacks.|
AC|PURGATION SWEEP|8927006|Null Maiden Vigil  Battle Tactic Stratagem|1.0|Witchseekers know their role in combat is to spread indiscriminate carnage through the foes ranks.|Your turn|Shooting phase|Null Maiden Vigil|862.0|WHEN: Your Shooting phase.TARGET: One Witchseekers unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, add 1 to the Attacks characteristic of Torrent weapons equipped by models in your unit. If such a weapon targets a PSYKER or Battle-shocked unit this phase, add 2 to its Attacks characteristic instead.|
AC|DESPERATIONS PRICE|8927002|Null Maiden Vigil  Strategic Ploy Stratagem|1.0|To overcome the Null Maidens aura, enemy psykers overstretch themselves with horrible consequences.|Either players turn|Any phase|Null Maiden Vigil|862.0|"WHEN: Any phase, just after an enemy PSYKER unit has either finished using a Psychic ability that targets a unit, or finished making Psychic Attacks.TARGET: One Anathema Psykana unit from your army within 18"" of that enemy PSYKER unit.EFFECT: That enemy PSYKER unit must take a Leadership test If the test is passed, that PSYKER unit is Battle-shocked; if the test is failed that PSYKER unit suffers 3 mortal wounds and is Battle-shocked."|
AC|PSY-CHAFF VOLLEY|8927005|Null Maiden Vigil  Strategic Ploy Stratagem|1.0|Prosecutors can fire psy-chaff bolts whose esoteric emissions weaken those targets not slain outright.|Your turn|Shooting phase|Null Maiden Vigil|862.0|WHEN: Your Shooting phase.TARGET: One Prosecutors unit from your army that has just shot.EFFECT: Select one enemy unit hit by one or more of those attacks. Until the start of your next turn, while your unit is on the battlefield, that enemy unit is prosecuted. While a unit is prosecuted, each time an Anathema Psykana model makes an attack against that unit, improve the Armour Penetration characteristic of that attack by 1. While a PSYKER or Battle-shocked unit is prosecuted, each time a model in that unit makes an attack, subtract 1 from the Hit roll.|
AC|PSYCHIC ABOMINATIONS|8927007|Null Maiden Vigil  Strategic Ploy Stratagem|1.0|Enemies must overcome disorienting waves of revulsion in order to even focus upon Null Maidens.|Opponents turn|Shooting phase|Null Maiden Vigil|862.0|"WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Anathema Psykana Infantry unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, your unit has the Stealth ability, and Battle-shocked and PSYKER models can only select your unit as a target of a ranged attack if they are within 12""."|
AC|ARCHEOTECH MUNITIONS|8394007|Shield Host   Wargear Stratagem|1.0|The Shield Hosts have access to stockpiles of ancient and incredibly rare weaponry and ammunition.|Your turn|Shooting phase|Shield Host|765.0|WHEN: Your Shooting phase.TARGET: One ADEPTUS CUSTODES unit from your army (excluding Anathema Psykana units) that has not been selected to shoot this phase.EFFECT: Select either the [LETHAL HITS] or [SUSTAINED HITS 1] ability. Until the end of the phase ranged weapons equipped by models in your unit have the selected ability.|
AC|ARCANE GENETIC ALCHEMY|8394002|Shield Host  Battle Tactic Stratagem|1.0|The Adeptus Custodes are individually engineered on a molecular level using secrets of genetic alchemy that render them virtual demigods in battle.|Either players turn|Any phase|Shield Host|765.0|WHEN: Any phase, just after a mortal wound has been allocated to an Adeptus Custodes model from your army(excluding Anathema Psykana models).TARGET: That ADEPTUS CUSTODES models unit.EFFECT: Until the end of the phase, models in your unit have the Feel No Pain 4+ ability against mortal wounds.|
AC|VIGILANCE ETERNAL|8394006|Shield Host  Strategic Ploy Stratagem|1.0|Simply because the Adeptus Custodes do not stand sentinel over a strategic location or asset, does not mean that it - or any who would threaten it - escapes their gaze.|Your turn|Movement phase|Shield Host|765.0|WHEN: Your Movement phase.TARGET: One Adeptus Custodes Battleline unit from your army (excluding Anathema Psykana units) within range of an objective marker you control.EFFECT: That objective marker remains under your control even if you have no models within range of it, until your opponent controls it at the start or end of any turn.|
AC|AVENGE THE FALLEN|8394003|Shield Host  Strategic Ploy Stratagem|1.0|The loss of a single Talon of the Emperor is commemorated by the tolling of the Bell of Lost Souls on Terra, and by their comrades bloody vengeance on the battlefield.|Either players turn|Fight phase|Shield Host|765.0|WHEN: Start of the Fight phase.TARGET: One ADEPTUS CUSTODES unit from your army (excluding Anathema Psykana units) that is below its Starting Strength.EFFECT: Until the end of the phase, add 1 to the Attacks characteristic of melee weapons equipped by models in that unit. If your unit is Below Half-strength, until the end of the phase, add 2 to the Attacks characteristic of those melee weapons instead.|
AC|UNWAVERING SENTINELS|8394004|Shield Host  Strategic Ploy Stratagem|1.0|Once the Custodians have laid claim to a location, they defend it with incredible tenacity and skill.|Either players turn|Fight phase|Shield Host|765.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One Adeptus Custodes Infantry unit from your army (excluding Anathema Psykana units) that is within range of an objective marker you control and that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a melee attack targets your unit, subtract 1 from the Hit roll.|
AC|MULTIPOTENTIALITY|8394005|Shield Host  Strategic Ploy Stratagem|1.0|So widely skilled and studied are the Custodians that, whatever situation they find themselves in, they have the martial wisdom to prevail.|Your turn|Movement phase|Shield Host|765.0|WHEN: Your Movement phase.TARGET: One Adeptus Custodes unit from your army that Fell Back this phase.EFFECT: Until the end of your turn, that unit is eligible to shoot and declare a charge in a turn in which it Fell Back.|
AC|EMPERORS VENGEANCE|9754003|Solar Spearhead  Battle Tactic Stratagem|1.0|Even as deaths cold embrace falls upon them, Custodians vent the last of their wrath upon the foe.|Either players turn|Fight phase|Solar Spearhead|986.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One ADEPTUS CUSTODES unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6, adding 1 to the result if your unit has the Walker keyword. On a 4+, do not remove it from play; The destroyed model can fight after the attacking unit has finished making its attacks (when doing so, it is assumed to have 1 wound remaining), and is then removed from play.|
AC|FLAWLESS CONSTRUCTION|9754002|Solar Spearhead  Battle Tactic Stratagem|1.0|The vehicles of the Adeptus Custodes are the finest examples of their kind. Their expertly wrought armoured forms contain ancient and esoteric technology, including auto-repair subroutines and reactive field generators.|Either players turn|Shooting or Fight phase|Solar Spearhead|986.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One Adeptus Custodes Vehicle unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time an attack targets a model in your unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of your unit, subtract 1 from the Wound roll.|
AC|WRATHFUL ADVANCE|9754004|Solar Spearhead  Battle Tactic Stratagem|1.0|The golden-armoured onslaught smashes through the enemy line, trapping the foe and preventing their escape.|Either players turn|Fight phase|Solar Spearhead|986.0|"WHEN: Fight phase, just before an ADEPTUS CUSTODES unit from your army Piles In.TARGET: That ADEPTUS CUSTODES unit.EFFECT: Until the end of the phase, each time a model in your unit makes a Pile-in move, it can move up to D3+3"" instead of up to 3""."|
